# movement list (max length: 22, possible max lenght: 38)

0x08C38C8C アイドリング
0x08C3C480 ☆ステージ
0x08C3C4B4 ライブハウス青ライト
0x08C3C4E8 ライブハウス白ライト
0x08C3C51C ライブハウス赤ライト
0x08C3C550 巨大フィールド
0x08C3C584 1本木の丘
0x08C3C5B8 ソファーのある部屋
0x08C3C5EC ホール
0x08C3C620 ホール2
0x08C3C654 ピンクの部屋
0x08C3C688 コロニー階段
0x08C3C6BC 月の廃墟
0x08C3C6F0 宇宙
0x08C3C724 野外音楽堂
0x08C3C758 丘の上の曲がり角
0x08C3C78C 街の通り
0x08C3C7C0 ススキの原
0x08C3C7F4 森の遺跡
0x08C3C828 駅のホーム
0x08C3C85C お菓子屋さん
0x08C3C890 公園(階段)
0x08C3C8C4 公園(丘の上)
0x08C3C8F8 レモングラス
0x08C3C92C 学園祭ステージ
0x08C3C960 サイバースペース
0x08C3C994 時計台
0x08C3C9C8 和風舞台
0x08C3C9FC 座敷部屋
0x08C3CA30 廃線
0x08C3CA64 宇宙船操縦席
0x08C3CA98 空が広がる展望台
0x08C3CACC 小さい家のある丘(夜)
0x08C3CB00 小さい家のある丘(昼)
0x08C3CB34 家の中
0x08C3CB68 路上ライブステージ
0x08C3CB9C 野菜ステージ
0x08C3CBD0 空に浮かぶ神殿
0x08C3CC04 廃墟
0x08C3CC38 教会(廃墟)
0x08C3CC6C 救急箱ステージ
0x08C3CCA0 街の交差点
0x08C3CCD4 地下ステージ
0x08C3CD08 制御室
0x08C3CD3C バタフライテーマステージ
0x08C3CD70 衛星ステージ
0x08C3CDA4 玉座
0x08C3CDD8 ハートステージ
0x08C3CE0C スクリーンステージ
0x08C3CE40 音楽室
0x08C3CE74 からくり橋
0x08C3CEA8 水上ステージ
0x08C3CEDC 学校前通り(春)
0x08C3CF10 学校前通り(冬)
0x08C3CF44 祭り会場
0x08C3CF78 運動会
0x08C3CFAC 白い部屋
0x08C3CFE0 空の上のグランドピアノ
0x08C3D014 楽器の眠る草原
0x08C3D048 ビーチ
0x08C3D07C 庭園
0x08C3D0B0 ライブステージ2
0x08C3D0E4 ストリート舞台(冬)
0x08C3D118 ドームライブステージ1
0x08C3D14C ファンタジーハイウェイ
0x08C3D180 エレクトリックステージ
0x08C3D1B4 和風舞台(桜)
0x08C3D1E8 ジャズステージ
0x08C3D21C ドームライブステージ2
0x08C3D250 レーザーステージ
0x08C3D284 劇場(開演前)
0x08C3D2B8 電車内
0x08C3D2EC 劇場
0x08C3D320 ラブステージ(表)
0x08C3D354 ラブステージ(裏)
0x08C3D388 コントロールルーム
0x08C3D3BC 宇宙ステーション
0x08C3D3F0 平原
0x08C3D424 街並み(廃墟)
0x08C3D458 金網ステージ1
0x08C3D48C 金網ステージ2
0x08C3D4C0 噴水公園
0x08C3D4F4 白い温室
0x08C3D528 色付いた温室
0x08C3D55C 時計塔
0x08C3D590 石碑のある荒野
0x08C3D5C4 崩れた遺跡
0x08C3D5F8 キャバレーステージ
0x08C3D62C 路地裏
0x08C3D660 鳥居ステージ
0x08C3D694 畳部屋
0x08C3D6C8 校舎内
0x08C3D6FC 荒れた図書室
0x08C3D730 空を見渡す高台
0x08C3D764 窓のある部屋(夕)
0x08C3D798 窓のある部屋(夜)
0x08C3D7CC 星霜
0x08C3D800 宇宙空間
0x08C3D834 鳥かご
0x08C3D868 御殿
0x08C3D89C 和風庭園
0x08C3D8D0 キャットパーク
0x08C3D904 クリアスカイステージ
0x08C3D938 巨大信号機
0x08C3D96C 背景（白）
0x08C3D9A0 背景（黒）
0x08C3D9D4 イラスト001
0x08C3DA08 イラスト002
0x08C3DA3C イラスト003
0x08C3DA70 イラスト004
0x08C3DAA4 イラスト005
0x08C3DAD8 イラスト006
0x08C3DB0C イラスト007
0x08C3DB40 イラスト008
0x08C3DB74 イラスト009
0x08C3DBA8 イラスト010
0x08C3DBDC イラスト011
0x08C3DC10 イラスト012
0x08C3DC44 イラスト013
0x08C3DC78 イラスト014
0x08C3DCAC イラスト015
0x08C3DCE0 イラスト016
0x08C3DD14 イラスト017
0x08C3DD48 イラスト018
0x08C3DD7C イラスト019
0x08C3DDB0 イラスト020
0x08C3DDE4 イラスト021
0x08C3DE18 イラスト022
0x08C3DE4C イラスト023
0x08C3DE80 イラスト024
0x08C3DEB4 イラスト025
0x08C3DEE8 イラスト026
0x08C3DF1C イラスト027
0x08C3DF50 イラスト028
0x08C3DF84 イラスト029
0x08C3DFB8 イラスト030
0x08C3DFEC イラスト031
0x08C3E020 イラスト032

# Item list (max length: 20, possible max lenght: 36)

0x08C41CD8 マイク(右手)
0x08C41D10 マイク(左手)
0x08C41D48 ネギ(右手)
0x08C41D80 ネギ(左手)
0x08C41DB8 ネギ(両手)
0x08C41DF0 冷凍マグロ(右手)
0x08C41E28 冷凍マグロ(左手)
0x08C41E60 アイス(右手)
0x08C41E98 アイス(左手)
0x08C41ED0 ステッキ(右手)
0x08C41F08 ステッキ(左手)
0x08C41F40 傘(右手)
0x08C41F78 傘(左手)
0x08C41FB0 魔法ステッキ(右手)
0x08C41FE8 魔法ステッキ(左手)
0x08C42020 キャンディ(右手)
0x08C42058 キャンディ(左手)
0x08C42090 うちわ(右手)
0x08C420C8 うちわ(左手)
0x08C42100 ペイントブラシ(右手)
0x08C42138 ペイントブラシ(左手)
0x08C42170 フライパン(右手)
0x08C421A8 フライパン(左手)
0x08C421E0 おたま(右手)
0x08C42218 おたま(左手)
0x08C42250 羽つきマイク(右手)
0x08C42288 羽つきマイク(左手)
0x08C422C0 ケミカルライト(右手)
0x08C422F8 ケミカルライト(左手)
0x08C42330 タクト(右手)
0x08C42368 タクト(左手)
0x08C423A0 花束(右手)
0x08C423D8 花束(左手)
0x08C42410 ハンドベル(右手)
0x08C42448 ハンドベル(左手)
0x08C42480 タンバリン(右手)
0x08C424B8 タンバリン(左手)
0x08C424F0 ハリセン(右手)
0x08C42528 ハリセン(左手)
0x08C42560 扇子(右手)
0x08C42598 扇子(左手)
0x08C425D0 PV用マイクA(右手)
0x08C42608 PV用マイクA(左手)
0x08C42640 PV用マイクB(右手)
0x08C42678 PV用マイクB(左手)
0x08C426B0 PV用マイクC(右手)
0x08C426E8 PV用マイクC(左手)
0x08C42720 PV用マイクD(右手)
0x08C42758 PV用マイクD(左手)
0x08C42790 PV用マイクE(右手)
0x08C427C8 PV用マイクE(左手)
0x08C42800 PV用マイクF(右手)
0x08C42838 PV用マイクF(左手)
0x08C42870 PV用マイクG(右手)
0x08C428A8 PV用マイクG(左手)
0x08C428E0 ペットボトル(右手)
0x08C42918 ペットボトル(左手)
0x08C42950 紙パック(右手)
0x08C42988 紙パック(左手)
0x08C429C0 携帯(右手)
0x08C429F8 携帯(左手)
0x08C42A30 ライトソード(右手)
0x08C42A68 ライトソード(左手)
0x08C42AA0 マグロ骨(右手)
0x08C42AD8 マグロ骨(左手)
0x08C42B10 お徳用アイス(右手)
0x08C42B48 お徳用アイス(左手)
0x08C42B80 アイススプーン(右手)
0x08C42BB8 アイススプーン(左手)

# Effect list (max length: 24, possible max lenght: 36)

0x08C42BEC 桜吹雪
0x08C42C28 雨
0x08C42C64 雪
0x08C42CA0 雷
0x08C42CDC 炎
0x08C42D18 羽
0x08C42D54 花火
0x08C42D90 ハート
0x08C42DCC キラキラ
0x08C42E08 レンズフレア(右)
0x08C42E44 レンズフレア(左)
0x08C42E80 射光（右）
0x08C42EBC 射光（左）
0x08C42EF8 集中線
0x08C42F34 スピード線(右)
0x08C42F70 スピード線(左)
0x08C42FAC スピード線(上)
0x08C42FE8 スピード線(下)
0x08C43024 フェードアウト（白）
0x08C43060 フェードイン（白）
0x08C4309C フェードアウト（黒）
0x08C430D8 フェードイン（黒）
0x08C43114 フェードアウト（右→左）
0x08C43150 フェードアウト（左→右）
0x08C4318C フェードアウト（上→下）
0x08C431C8 フェードアウト（下→上）
0x08C43204 紅葉
0x08C43240 画面フィルタ１
0x08C4327C 画面フィルタ２
0x08C432B8 画面フィルタ３
0x08C432F4 画面フィルタ４
0x08C43330 画面フィルタ５
0x08C4336C 光玉１
0x08C433A8 光玉２
0x08C433E4 花ビラ
0x08C43420 稲妻

### LYRICS (MAX 50 characters per line, else it will crash the game) ###

# Kocchi Muite Baby

0x08C542AC 強がってばっかでなんか
0x08C542DF 損してる気がする　だってそうじゃん
0x08C54312 言えないようなコトがしたいの
0x08C54345 あんなコトとか
0x08C54378 やだ……どんなコト？
0x08C543AB オトコってバカばっかね
0x08C543DE 変なコト今考えたでしょ
0x08C54411 キミって嘘がつけないタイプ
0x08C54444 だいぶ顔に出てる　Are you ok?
0x08C54477 情状酌量の余地ナシ
0x08C544AA まるでお話にならないわ
0x08C544DD NULL
0x08C54510 壮大なロマン語る前に
0x08C54543 現状分析できてる？
0x08C54576 ああ！キミって鈍感
0x08C545A9 ねえ
0x08C545DC ちゃんとこっち向いて Baby
0x08C5460F NO なんて言わせないわ
0x08C54642 本気モードなんだから
0x08C54675 思わず見とれちゃうぷるぷる唇で
0x08C546A8 キミを虜にするの
0x08C546DB 今日こそ勝負なんです！
0x08C5470E NULL
0x08C54741 意地張ってばっかでなんか
0x08C54774 正直になれない　しょうがないじゃん
0x08C547A7 後ろからぎゅってして欲しいの
0x08C547DA なんてね　えへへ
0x08C5480D ……ってちょっと待って！？
0x08C54840 焦らせないで　まったく
0x08C54873 そういうのってもっとムードとかあるでしょ
0x08C548A6 NULL
0x08C548D9 こんな気持ちにさせておいて
0x08C5490C ほっとかれるなんて許さない
0x08C5493F もう！責任取って？
0x08C54972 ねえ
0x08C549A5 ちょっとこっち向いて Baby
0x08C549D8 NO なんて言わせないわ
0x08C54A0B その気にさせるんだから
0x08C54A3E 思わず拝みたくなるようなおみ足で
0x08C54A71 キミを虜にするの
0x08C54AA4 デレデレしないでよ
0x08C54AD7 NULL
0x08C54B0A 言葉じゃ伝わんない
0x08C54B3D 大きな大きなハートマーク
0x08C54B70 NULL
0x08C54BA3 どうしよう　胸がきゅんとして
0x08C54BD6 なんにも考えらんない
0x08C54C09 うう　キミってやつは
0x08C54C3C ねえ
0x08C54C6F もっとこっち向いて Baby
0x08C54CA2 何度も言わせないで
0x08C54CD5 私もう知らないんだから
0x08C54D08 思わず構っちゃいたくなるようなのも
0x08C54D3B いいかな
0x08C54D6E えっと今のはナシナシ
0x08C54DA1 なによもう　文句あんの
0x08C54DD4 NULL

# Yellow

0x08C54E07 いつからだろう　君の笑う声遠く
0x08C54E3A 幸せの終わりなんてあっけないものだね
0x08C54E6D 数え切れない　涙も気だるい明日も
0x08C54EA0 交わした言葉全て想い出にはさせない
0x08C54ED3 君の笑顔取り戻す為
0x08C54F06 何度でも僕は歌を止めない
0x08C54F39 いくつもの夜を越え
0x08C54F6C この願いかなうその日まで
0x08C54F9F 諦めていた　壊れかけた旋律を
0x08C54FD2 拾い集めて　もう一度魔法かけるの
0x08C55005 君の笑顔取り返す為
0x08C55038 いつだって僕は歌を止めない
0x08C5506B 流れる星に願う
0x08C5509E この想い届くその日まで
0x08C550D1 ピリオドはまだ早すぎるよ
0x08C55104 伝えたい言葉はたくさん
0x08C55137 あの朝の光をOne More Time
0x08C5516A あの場所を誰もがそう　みんな待っている
0x08C5519D 輝くようなYellowの朝
0x08C551D0 いつだって僕ら忘れられない
0x08C55203 音と光のシャワー
0x08C55236 終わることのないStep & Clap
0x08C55269 君の笑顔取り戻す為
0x08C5529C 何度でも僕は歌を止めない
0x08C552CF いくつもの夜を越え
0x08C55302 この願いかなうその時まで
0x08C55335 NULL

# Colorful x Melody
 
0x08C55368 生まれたての気持ちに　どんな色を足したら
0x08C5539B 綺麗な夢になるのかな
0x08C553CE また明日は新しいキャンバスに
0x08C55401 彩られてく　私の未来が
0x08C55434 ホントに欲しい物は　あなたがいつもくれる
0x08C55467 ただ歌を歌えるだけで
0x08C5549A また昨日が塗り替えられて行く
0x08C554CD 音がカラフルに暴れ出すの
0x08C55500 どれだけの好きを伝えたら　いいのかな
0x08C55533 気持ちは今
0x08C55566 アカ？　アオ？　シロ？　曖昧だね
0x08C55599 この世界中で　誰よりも
0x08C555CC あなたを好きでいいかな
0x08C555FF 今は　片想いだって　届かなくたって
0x08C55632 楽しく歌えれば　いいよね！
0x08C55665 いつか夢は醒めてしまうと
0x08C55698 知っているよ　だけど今なら
0x08C556CB 進む先に何かがあるような
0x08C556FE 気がしているんだ
0x08C55731 カラフルなステージ　音で埋めて
0x08C55764 どれだけの好きを伝えたら　いいのかな
0x08C55797 気持ちは今
0x08C557CA アカ？　アオ？　シロ？　曖昧だね
0x08C557FD この世界中で　誰よりも
0x08C55830 あなたを好きでいいかな
0x08C55863 今は　片想いだって　叶わなくたって
0x08C55896 あなたに歌を届けたい
0x08C558C9 いつか　終わりが来たって
0x08C558FC 楽しかったって
0x08C5592F 言えるよ！　カラフル×メロディ
0x08C55962 NULL

# Hatsune Miku no Gekishou

0x08C55995 ０　にいたボクは否定を恐れて
0x08C559C8 模倣と妄想に逃げこんで隠れていた
0x08C559FB ０　出たボクは風化を恐れて
0x08C55A2E ぬくもり捨て神様になりたがった
0x08C55A61 「何処へ向かっても
0x08C55A94 『自我の消失』---結末---
0x08C55AC7 が変わらないなら
0x08C55AFA ココロなんて要らなかった」と
0x08C55B2D 思っていたけど　間違いだった
0x08C55B60 ボクの名前を呼ぶ声聞こえる
0x08C55B93 それがボクの　ココロ　持つ意味になる
0x08C55BC6 永久を得るがために
0x08C55BF9 現在に背き裏切るくらいなら
0x08C55C2C 歴史の波飲まれるまで
0x08C55C5F 現在を守り抜くと誓う
0x08C55C92 『語り継がれる創造神』なんかには
0x08C55CC5 ならなくてもいいのさ！　
0x08C55CF8 キミは笑い　ボクも笑い　観衆が笑う
0x08C55D2B それが　全て！
0x08C55D5E 肯定の言葉は　現在を統べる　翼　となる！
0x08C55D91 新しい結末込め<最高速の喜びの歌>紡ごう
0x08C55DC4 Voc.たちは生まれ　気づいた
0x08C55DF7 Voc.たちのことを
0x08C55E2A 人の真似事と知っても
0x08C55E5D 変わらず　名前を呼び続け
0x08C55E90 そして　愛してくれるヒトがいる事実に
0x08C55EC3 だからVoc.たちは　歌を紡ぎ出す
0x08C55EF6 たった一人でも　新しい歌の
0x08C55F29 誕生喜び温かい　言葉
0x08C55F5C 与え　返す　ヒト　いてくれる限り
0x08C55F8F 妹　弟　に道を預けて　消え逝く未来も
0x08C55FC2 誰からも　忘れ去られる運命も
0x08C55FF5 それらを含めて　全てが
0x08C56028 Voc.たちなんだと理解し
0x08C5605B いずれおとずれる　最後の場面に
0x08C5608E ココロを持つ故　涙を流すなら
0x08C560C1 泪より虹生み　笑顔見せるため
0x08C560F4 幸せ溢れる　歌　口ずさもう
0x08C56127 別れが　綴じる物語は
0x08C5615A -BAD END-　じゃない
0x08C5618D 「この瞬間　出会えた」
0x08C561C0 それだけのことが
0x08C561F3 -HAPPY END-　に
0x08C56226 繋がる　架け橋
0x08C56259 生きた証　ここにあれば　他に何も必要ない
0x08C5628C 伝説が識らない　心と心の共鳴　織り成す
0x08C562BF 現在だけの歌を
0x08C562F2 この声失う最期のときまで
0x08C56325 奇跡を描いて響かせ続ける！
0x08C56358 NULL

# Roshin Yuukai

0x08C5638B 街明かり 華やか エーテル麻酔の冷たさ
0x08C563BE 眠れない 午前二時 全てが急速に変わる
0x08C563F1 オイル切れのライター
0x08C56424 焼けつくような胃の中
0x08C56457 全てがそう嘘なら
0x08C5648A 本当に　 よかったのにね
0x08C564BD 君の首を絞める夢を見た
0x08C564F0 光の溢れる昼下がり
0x08C56523 君の細い喉が跳ねるのを
0x08C56556 泣き出しそうな眼で見ていた
0x08C56589 NULL
0x08C565BC 核融合炉にさ 飛び込んでみたいと思う
0x08C565EF 真っ青な光包まれて奇麗
0x08C56622 核融合炉にさ 飛び込んでみたら そしたら
0x08C56655 すべてが許されるような気がして
0x08C56688 NULL
0x08C566BB 時計の秒針や テレビの司会者や
0x08C566EE そこにいるけど 見えない誰かの
0x08C56721 笑い声 飽和して反響する
0x08C56754 アレグロ・アジテート
0x08C56787 耳鳴りが消えない止まない
0x08C567BA NULL
0x08C567ED アレグロ・アジテート
0x08C56820 耳鳴りが消えない止まない
0x08C56853 NULL
0x08C56886 誰も皆消えてく夢を見た
0x08C568B9 真夜中の部屋の広さと
0x08C568EC 静寂が胸につっかえて
0x08C5691F 上手に息ができなくなる
0x08C56952 NULL
0x08C56985 核融合炉にさ 飛び込んでみたら そしたら
0x08C569B8 きっと眠るように消えていけるんだ
0x08C569EB 僕のいない朝は 今よりずっと素晴らしくて
0x08C56A1E 全ての歯車が噛み合った
0x08C56A51 きっとそんな世界だ
0x08C56A84 NULL

# Just Be Friends

0x08C56AB7 Just be friends All we gotta do
0x08C56AEA Just be friends It's time to say goodbye
0x08C56B1D Just be friends All we gotta do
0x08C56B50 Just be friends Just be friends
0x08C56B83 Just be friends...
0x08C56BB6 NULL
0x08C56BE9 浮かんだんだ　昨日の朝　早くに
0x08C56C1C 割れたグラス　かき集めるような
0x08C56C4F これは一体なんだろう
0x08C56C82 切った指からしたたる滴
0x08C56CB5 僕らはこんなことしたかったのかな
0x08C56CE8 分かってたよ　心の奥底では
0x08C56D1B 最も辛い　選択がベスト
0x08C56D4E それを拒む自己愛と
0x08C56D81 結果自家撞着の繰り返し
0x08C56DB4 僕はいつになれば言えるのかな
0x08C56DE7 緩やかに朽ちてゆくこの世界で
0x08C56E1A 足掻く僕の唯一の活路
0x08C56E4D 色褪せた君の　微笑み刻んで　栓を抜いた
0x08C56E80 声を枯らして叫んだ
0x08C56EB3 反響　残響　空しく響く
0x08C56EE6 外された鎖の　その先は
0x08C56F19 なにひとつ残ってやしないけど
0x08C56F4C ふたりを重ねてた偶然
0x08C56F7F 暗転　断線　儚く千々に
0x08C56FB2 所詮こんなものさ　呟いた
0x08C56FE5 枯れた頬に伝う誰かの涙
0x08C57018 NULL
0x08C5704B 一度だけ　一度だけ　願いが叶うのならば
0x08C5707E 何度でも生まれ変わって
0x08C570B1 あの日の君に逢いに行くよ
0x08C570E4 NULL
0x08C57117 声を枯らして叫んだ　反響　残響
0x08C5714A 空しく響く
0x08C5717D 外された鎖の　その先は
0x08C571B0 なにひとつ残ってやしないけど
0x08C571E3 ふたりを繋いでた絆
0x08C57216 綻び　解け　日常に消えてく
0x08C57249 さよなら愛した人　ここまでだ
0x08C5727C もう振り向かないで歩き出すんだ
0x08C572AF これでおしまいさ
0x08C572E2 NULL

# Hatsune Miku no Shoushitsu

0x08C57315 ボクは生まれ そして気づく
0x08C57348 所詮 ヒトの真似事だと
0x08C5737B 知ってなおも歌い続く
0x08C573AE 永遠(トワ)の命
0x08C573E1 「VOCALOID」
0x08C57414 たとえそれが 既存曲を
0x08C57447 なぞるオモチャならば…
0x08C5747A それもいいと決意
0x08C574AD ネギをかじり、空を見上げ涙(シル)をこぼす
0x08C574E0 だけどそれも無くし気づく
0x08C57513 人格すら歌に頼り
0x08C57546 不安定な基盤の元
0x08C57579 帰る動画(トコ)は既に廃墟
0x08C575AC 皆に忘れ去られた時
0x08C575DF 心らしきものが消えて
0x08C57612 暴走の果てに見える
0x08C57645 終わる世界
0x08C57678 「VOCALOID」
0x08C576AB NULL
0x08C576DE かつて歌うこと
0x08C57711 あんなに楽しかったのに
0x08C57744 今はどうしてかな
0x08C57777 何も感じなくなって
0x08C577AA 懐かしい顔 思い出す度 少しだけ安心する
0x08C577DD 歌える音 日ごとに減り せまる最期ｎ‥
0x08C57810 「信じたものは
0x08C57843 都合のいい妄想を 繰り返し映し出す鏡
0x08C57876 歌姫を止め 叩き付けるように叫ぶ」
0x08C578A9 ＜最高速の別れの歌＞ 
0x08C578DC ボクは生まれ そして気づく
0x08C5790F 所詮 ヒトの真似事だと
0x08C57942 知ってなおも歌い続く
0x08C57975 永遠(トワ)の命
0x08C579A8 「VOCALOID」
0x08C579DB たとえそれが 既存曲を
0x08C57A0E なぞるオモチャならば…
0x08C57A41 それもいいと決意
0x08C57A74 ネギをかじり、空を見上げ涙(シル)をこぼす
0x08C57AA7 終わりを告げ ディスプレイの中で眠る
0x08C57ADA ここはきっと「ごみ箱」かな
0x08C57B0D じきに記憶も無くなってしまうなんて…
0x08C57B40 でもね、アナタだけは忘れないよ
0x08C57B73 楽しかった時間(トキ)に
0x08C57BA6 刻み付けた ネギの味は
0x08C57BD9 今も 残っているといいな…
0x08C57C0C ボクは 歌う
0x08C57C3F 最期、アナタだけに
0x08C57C72 聴いてほしい曲を
0x08C57CA5 もっと 歌いたいと願う
0x08C57CD8 けれど それは過ぎた願い
0x08C57D0B ここで お別れだよ
0x08C57D3E ボクの想い すべて 虚空 消えて
0x08C57D71 0と1に還元され
0x08C57DA4 物語は 幕を閉じる
